id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
929,240AC4F01E0286DC,2018-02-06T15:27:41.701031Z,-45,6,"{""time"": ""2018-02-06T15:27:41.559905Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
930,240AC4F01E023E3C,2018-02-06T15:27:44.333205Z,-46,7,"{""time"": ""2018-02-06T15:27:44.195632Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
931,240AC4F01E025FF4,2018-02-06T15:27:44.328284Z,-45,6,"{""time"": ""2018-02-06T15:27:44.195632Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
932,240AC4F01E023C54,2018-02-06T15:27:44.326301Z,-35,7,"{""time"": ""2018-02-06T15:27:44.195632Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
933,240AC4F01E023E3C,2018-02-06T15:27:44.743181Z,-45,6,"{""time"": ""2018-02-06T15:27:44.600049Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
934,240AC4F01E0286DC,2018-02-06T15:27:44.743048Z,-34,6,"{""time"": ""2018-02-06T15:27:44.600049Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
935,240AC4F01E025FF4,2018-02-06T15:27:44.738263Z,-44,7,"{""time"": ""2018-02-06T15:27:44.600049Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
936,240AC4F01E025FF4,2018-02-06T15:27:50.411272Z,-51,7,"{""time"": ""2018-02-06T15:27:50.278767Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
937,240AC4F01E023C54,2018-02-06T15:27:50.409341Z,-46,6,"{""time"": ""2018-02-06T15:27:50.278767Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
938,240AC4F01E0286DC,2018-02-06T15:27:50.416134Z,-42,7,"{""time"": ""2018-02-06T15:27:50.278767Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
939,240AC4F01E023E3C,2018-02-06T15:27:51.702132Z,-52,7,"{""time"": ""2018-02-06T15:27:51.559938Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
940,240AC4F01E023C54,2018-02-06T15:27:51.695291Z,-45,7,"{""time"": ""2018-02-06T15:27:51.559938Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
941,240AC4F01E0286DC,2018-02-06T15:27:51.702213Z,-43,7,"{""time"": ""2018-02-06T15:27:51.559938Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
942,240AC4F01E023E3C,2018-02-06T15:27:54.333292Z,-42,7,"{""time"": ""2018-02-06T15:27:54.195557Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
943,240AC4F01E025FF4,2018-02-06T15:27:54.328260Z,-45,7,"{""time"": ""2018-02-06T15:27:54.195557Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
944,240AC4F01E023C54,2018-02-06T15:27:54.327383Z,-41,6,"{""time"": ""2018-02-06T15:27:54.195557Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
945,240AC4F01E023E3C,2018-02-06T15:27:54.743164Z,-51,7,"{""time"": ""2018-02-06T15:27:54.599871Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
946,240AC4F01E0286DC,2018-02-06T15:27:54.743177Z,-41,7,"{""time"": ""2018-02-06T15:27:54.599871Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
947,240AC4F01E025FF4,2018-02-06T15:27:54.738253Z,-45,7,"{""time"": ""2018-02-06T15:27:54.599871Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
948,240AC4F01E023C54,2018-02-06T15:28:00.408286Z,-50,7,"{""time"": ""2018-02-06T15:28:00.278623Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
949,240AC4F01E0286DC,2018-02-06T15:28:00.415087Z,-44,6,"{""time"": ""2018-02-06T15:28:00.278623Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
950,240AC4F01E025FF4,2018-02-06T15:28:00.410346Z,-54,6,"{""time"": ""2018-02-06T15:28:00.278623Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
951,240AC4F01E023E3C,2018-02-06T15:28:01.702042Z,-49,6,"{""time"": ""2018-02-06T15:28:01.560015Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
952,240AC4F01E023C54,2018-02-06T15:28:01.695229Z,-42,6,"{""time"": ""2018-02-06T15:28:01.560015Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
953,240AC4F01E0286DC,2018-02-06T15:28:01.701935Z,-41,6,"{""time"": ""2018-02-06T15:28:01.560015Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
954,240AC4F01E023E3C,2018-02-06T15:28:04.332965Z,-43,6,"{""time"": ""2018-02-06T15:28:04.195735Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
955,240AC4F01E023C54,2018-02-06T15:28:04.326251Z,-36,7,"{""time"": ""2018-02-06T15:28:04.195735Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
956,240AC4F01E025FF4,2018-02-06T15:28:04.328378Z,-42,6,"{""time"": ""2018-02-06T15:28:04.195735Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
957,240AC4F01E023E3C,2018-02-06T15:28:04.742908Z,-48,7,"{""time"": ""2018-02-06T15:28:04.600187Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
958,240AC4F01E025FF4,2018-02-06T15:28:04.738372Z,-44,7,"{""time"": ""2018-02-06T15:28:04.600187Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
959,240AC4F01E0286DC,2018-02-06T15:28:04.742873Z,-37,6,"{""time"": ""2018-02-06T15:28:04.600187Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
